YKJ;Kunta;Ruutu;Tyydyttävän pvs-raja;Suurruutu;Suurruutu-koord;YKJ-N;YKJ-E;Priorisoitu;url
747:358;Salla;Maltiotunturi;90;11;745:355-749:359;747;358;kyllä;https://tulokset.lintuatlas.fi/grid/747:358
747:359;Salla;Suoltoiva;90;11;745:355-749:359;747;359;kyllä;https://tulokset.lintuatlas.fi/grid/747:359
748:355;Savukoski;Martti;90;11;745:355-749:359;748;355;valmis;https://tulokset.lintuatlas.fi/grid/748:355
748:356;Savukoski;Kota-aapa;90;11;745:355-749:359;748;356;valmis;https://tulokset.lintuatlas.fi/grid/748:356
748:357;Savukoski;Koukkutunturi;90;11;745:355-749:359;748;357;kyllä;https://tulokset.lintuatlas.fi/grid/748:357
748:358;Savukoski;Pöytösvaara;90;11;745:355-749:359;748;358;valmis;https://tulokset.lintuatlas.fi/grid/748:358
748:359;Salla;Joutsitunturi;90;11;745:355-749:359;748;359;valmis;https://tulokset.lintuatlas.fi/grid/748:359
749:355;Savukoski;Iso Marjavaara;90;11;745:355-749:359;749;355;kyllä;https://tulokset.lintuatlas.fi/grid/749:355
749:356;Savukoski;Kontiokoski;90;11;745:355-749:359;749;356;kyllä;https://tulokset.lintuatlas.fi/grid/749:356
749:357;Savukoski;Honkamukka;90;11;745:355-749:359;749;357;ei;https://tulokset.lintuatlas.fi/grid/749:357
749:358;Savukoski;Siuruvaara;90;11;745:355-749:359;749;358;kyllä;https://tulokset.lintuatlas.fi/grid/749:358
749:359;Savukoski;Pietsivaara;90;11;745:355-749:359;749;359;kyllä;https://tulokset.lintuatlas.fi/grid/749:359
745:360;Salla;Nilitunturi;72;12;745:360-749:364;745;360;kyllä;https://tulokset.lintuatlas.fi/grid/745:360
746:360;Salla;Sätsivaara;90;12;745:360-749:364;746;360;valmis;https://tulokset.lintuatlas.fi/grid/746:360
747:360;Salla;Vasavaara;90;12;745:360-749:364;747;360;valmis;https://tulokset.lintuatlas.fi/grid/747:360
747:361;Salla;Siuloiva;72;12;745:360-749:364;747;361;ei;https://tulokset.lintuatlas.fi/grid/747:361
748:360;Salla;Aitatsivaarat;90;12;745:360-749:364;748;360;valmis;https://tulokset.lintuatlas.fi/grid/748:360
748:361;Salla;Sorsatunturi;90;12;745:360-749:364;748;361;kyllä;https://tulokset.lintuatlas.fi/grid/748:361
748:362;Salla;Jaltakkilampi;72;12;745:360-749:364;748;362;ei;https://tulokset.lintuatlas.fi/grid/748:362
749:360;Salla;Verkkomaselkä;90;12;745:360-749:364;749;360;kyllä;https://tulokset.lintuatlas.fi/grid/749:360
749:361;Salla;Nuolusoiva;90;12;745:360-749:364;749;361;valmis;https://tulokset.lintuatlas.fi/grid/749:361
749:362;Salla;Ulmakuusikko;72;12;745:360-749:364;749;362;kyllä;https://tulokset.lintuatlas.fi/grid/749:362
750:334;Muonio;Kutuniva;72;13;750:335-754:339;750;334;ei;https://tulokset.lintuatlas.fi/grid/750:334
750:335;Muonio;Kihlanki;90;13;750:335-754:339;750;335;ei;https://tulokset.lintuatlas.fi/grid/750:335
750:336;Muonio;Pakajärvi;90;13;750:335-754:339;750;336;valmis;https://tulokset.lintuatlas.fi/grid/750:336
750:337;Kolari;Äkäslompolo;90;13;750:335-754:339;750;337;valmis;https://tulokset.lintuatlas.fi/grid/750:337
750:338;Kolari;Kesänkijärvi;90;13;750:335-754:339;750;338;valmis;https://tulokset.lintuatlas.fi/grid/750:338
750:339;Kittilä;Iso-Totovaara;90;13;750:335-754:339;750;339;valmis;https://tulokset.lintuatlas.fi/grid/750:339
751:335;Muonio;Käkinivanvaara;90;13;750:335-754:339;751;335;kyllä;https://tulokset.lintuatlas.fi/grid/751:335
751:336;Muonio;Särkiselkä;90;13;750:335-754:339;751;336;kyllä;https://tulokset.lintuatlas.fi/grid/751:336
751:337;Muonio;Tiurajärvi;90;13;750:335-754:339;751;337;valmis;https://tulokset.lintuatlas.fi/grid/751:337
751:338;Kittilä;Iso Kukasvaara;90;13;750:335-754:339;751;338;valmis;https://tulokset.lintuatlas.fi/grid/751:338
751:339;Kittilä;Aakenustunturi;90;13;750:335-754:339;751;339;valmis;https://tulokset.lintuatlas.fi/grid/751:339
752:335;Muonio;Reponiemi;90;13;750:335-754:339;752;335;ei;https://tulokset.lintuatlas.fi/grid/752:335
752:336;Muonio;Löyttyvaara;90;13;750:335-754:339;752;336;ei;https://tulokset.lintuatlas.fi/grid/752:336
752:337;Muonio;Ruonavaara;90;13;750:335-754:339;752;337;kyllä;https://tulokset.lintuatlas.fi/grid/752:337
752:338;Kittilä;Linkukero;90;13;750:335-754:339;752;338;kyllä;https://tulokset.lintuatlas.fi/grid/752:338
752:339;Kittilä;Saattopora;90;13;750:335-754:339;752;339;ei;https://tulokset.lintuatlas.fi/grid/752:339
753:335;Muonio;Karsikkoniemi;90;13;750:335-754:339;753;335;ei;https://tulokset.lintuatlas.fi/grid/753:335
753:336;Muonio;Juuvanrova;90;13;750:335-754:339;753;336;kyllä;https://tulokset.lintuatlas.fi/grid/753:336
753:337;Muonio;Särkijärvi;90;13;750:335-754:339;753;337;valmis;https://tulokset.lintuatlas.fi/grid/753:337
753:338;Kittilä;Rauhala;90;13;750:335-754:339;753;338;valmis;https://tulokset.lintuatlas.fi/grid/753:338
753:339;Kittilä;Pöntsö;90;13;750:335-754:339;753;339;valmis;https://tulokset.lintuatlas.fi/grid/753:339
754:335;Muonio;Utkujoki;72;13;750:335-754:339;754;335;kyllä;https://tulokset.lintuatlas.fi/grid/754:335
754:336;Muonio;Muonion kk;90;13;750:335-754:339;754;336;valmis;https://tulokset.lintuatlas.fi/grid/754:336
754:337;Muonio;Toras-Sieppi;90;13;750:335-754:339;754;337;valmis;https://tulokset.lintuatlas.fi/grid/754:337
754:338;Kittilä;Keimiöjärvi;90;13;750:335-754:339;754;338;valmis;https://tulokset.lintuatlas.fi/grid/754:338
754:339;Kittilä;Ruskisrova;90;13;750:335-754:339;754;339;valmis;https://tulokset.lintuatlas.fi/grid/754:339
750:340;Kittilä;Isovaara;90;14;750:340-754:344;750;340;valmis;https://tulokset.lintuatlas.fi/grid/750:340
750:341;Kittilä;Ala-Kittilä;90;14;750:340-754:344;750;341;valmis;https://tulokset.lintuatlas.fi/grid/750:341
750:342;Kittilä;Pahkavuoma;90;14;750:340-754:344;750;342;valmis;https://tulokset.lintuatlas.fi/grid/750:342
750:343;Kittilä;Iso Mustavaara;90;14;750:340-754:344;750;343;valmis;https://tulokset.lintuatlas.fi/grid/750:343
750:344;Kittilä;Kuolajärvi;90;14;750:340-754:344;750;344;ei;https://tulokset.lintuatlas.fi/grid/750:344
751:340;Kittilä;Mantovuoma;90;14;750:340-754:344;751;340;valmis;https://tulokset.lintuatlas.fi/grid/751:340
751:341;Kittilä;Riikonkumpu;90;14;750:340-754:344;751;341;valmis;https://tulokset.lintuatlas.fi/grid/751:341
751:342;Kittilä;Sotkaselkä;90;14;750:340-754:344;751;342;kyllä;https://tulokset.lintuatlas.fi/grid/751:342
751:343;Kittilä;Kumputunturi;90;14;750:340-754:344;751;343;valmis;https://tulokset.lintuatlas.fi/grid/751:343
751:344;Kittilä;Kuoreslaki;90;14;750:340-754:344;751;344;ei;https://tulokset.lintuatlas.fi/grid/751:344
752:340;Kittilä;Sirkka;90;14;750:340-754:344;752;340;valmis;https://tulokset.lintuatlas.fi/grid/752:340
752:341;Kittilä;Taalovaara;90;14;750:340-754:344;752;341;valmis;https://tulokset.lintuatlas.fi/grid/752:341
752:342;Kittilä;Rasti;90;14;750:340-754:344;752;342;kyllä;https://tulokset.lintuatlas.fi/grid/752:342
752:343;Kittilä;Hanhilaki;90;14;750:340-754:344;752;343;valmis;https://tulokset.lintuatlas.fi/grid/752:343
752:344;Kittilä;Vesmajärvi;90;14;750:340-754:344;752;344;ei;https://tulokset.lintuatlas.fi/grid/752:344
753:340;Kittilä;Veitservasa;90;14;750:340-754:344;753;340;valmis;https://tulokset.lintuatlas.fi/grid/753:340
753:341;Kittilä;Rautuskylä;90;14;750:340-754:344;753;341;valmis;https://tulokset.lintuatlas.fi/grid/753:341
753:342;Kittilä;Päivänhohtovuoma;90;14;750:340-754:344;753;342;valmis;https://tulokset.lintuatlas.fi/grid/753:342
753:343;Kittilä;Kiistala;90;14;750:340-754:344;753;343;valmis;https://tulokset.lintuatlas.fi/grid/753:343
753:344;Kittilä;Paartoselkä;90;14;750:340-754:344;753;344;ei;https://tulokset.lintuatlas.fi/grid/753:344
754:340;Kittilä;Tepasto;90;14;750:340-754:344;754;340;valmis;https://tulokset.lintuatlas.fi/grid/754:340
754:341;Kittilä;Kuortanovuoma;90;14;750:340-754:344;754;341;valmis;https://tulokset.lintuatlas.fi/grid/754:341
754:342;Kittilä;Kellolaki;90;14;750:340-754:344;754;342;valmis;https://tulokset.lintuatlas.fi/grid/754:342
754:343;Kittilä;Pahasvuoma;90;14;750:340-754:344;754;343;ei;https://tulokset.lintuatlas.fi/grid/754:343
754:344;Kittilä;Seurukarkea;90;14;750:340-754:344;754;344;ei;https://tulokset.lintuatlas.fi/grid/754:344
750:345;Sodankylä;Kautoselkä;90;15;750:345-754:349;750;345;valmis;https://tulokset.lintuatlas.fi/grid/750:345
750:346;Sodankylä;Rajala;90;15;750:345-754:349;750;346;kyllä;https://tulokset.lintuatlas.fi/grid/750:346
750:347;Sodankylä;Sattasvaara;90;15;750:345-754:349;750;347;kyllä;https://tulokset.lintuatlas.fi/grid/750:347
750:348;Sodankylä;Postoaapa;90;15;750:345-754:349;750;348;valmis;https://tulokset.lintuatlas.fi/grid/750:348
750:349;Sodankylä;Moskuvaara;90;15;750:345-754:349;750;349;valmis;https://tulokset.lintuatlas.fi/grid/750:349
751:345;Sodankylä;Kuussattasselkä;90;15;750:345-754:349;751;345;ei;https://tulokset.lintuatlas.fi/grid/751:345
751:346;Sodankylä;Kallaanselkä;90;15;750:345-754:349;751;346;kyllä;https://tulokset.lintuatlas.fi/grid/751:346
751:347;Sodankylä;Möykkelmä;90;15;750:345-754:349;751;347;ei;https://tulokset.lintuatlas.fi/grid/751:347
751:348;Sodankylä;Ilmakkijärvi;90;15;750:345-754:349;751;348;valmis;https://tulokset.lintuatlas.fi/grid/751:348
751:349;Sodankylä;Petkula;90;15;750:345-754:349;751;349;valmis;https://tulokset.lintuatlas.fi/grid/751:349
752:345;Sodankylä;Tarpomapää;90;15;750:345-754:349;752;345;kyllä;https://tulokset.lintuatlas.fi/grid/752:345
752:346;Sodankylä;Paistipuolet;90;15;750:345-754:349;752;346;kyllä;https://tulokset.lintuatlas.fi/grid/752:346
752:347;Sodankylä;Tenniövaara;90;15;750:345-754:349;752;347;kyllä;https://tulokset.lintuatlas.fi/grid/752:347
752:348;Sodankylä;Peurasuvanto;90;15;750:345-754:349;752;348;valmis;https://tulokset.lintuatlas.fi/grid/752:348
752:349;Sodankylä;Rookkiaapa;90;15;750:345-754:349;752;349;valmis;https://tulokset.lintuatlas.fi/grid/752:349
753:345;Kittilä;Paljukka;90;15;750:345-754:349;753;345;ei;https://tulokset.lintuatlas.fi/grid/753:345
753:346;Sodankylä;Pokaselkä;90;15;750:345-754:349;753;346;kyllä;https://tulokset.lintuatlas.fi/grid/753:346
753:347;Sodankylä;Pomovaara;90;15;750:345-754:349;753;347;ei;https://tulokset.lintuatlas.fi/grid/753:347
753:348;Sodankylä;Madetkoski;90;15;750:345-754:349;753;348;valmis;https://tulokset.lintuatlas.fi/grid/753:348
753:349;Sodankylä;Kuusi-Lomavaara;90;15;750:345-754:349;753;349;valmis;https://tulokset.lintuatlas.fi/grid/753:349
754:345;Kittilä;Känsäselkä;90;15;750:345-754:349;754;345;ei;https://tulokset.lintuatlas.fi/grid/754:345
754:346;Sodankylä;Karjala-Aapa;90;15;750:345-754:349;754;346;kyllä;https://tulokset.lintuatlas.fi/grid/754:346
754:347;Sodankylä;Pomoaapa;90;15;750:345-754:349;754;347;ei;https://tulokset.lintuatlas.fi/grid/754:347
754:348;Sodankylä;Kunnasenvaara;90;15;750:345-754:349;754;348;kyllä;https://tulokset.lintuatlas.fi/grid/754:348
754:349;Sodankylä;Lohisarriot;90;15;750:345-754:349;754;349;kyllä;https://tulokset.lintuatlas.fi/grid/754:349
750:350;Sodankylä;Allema-Aapa;90;16;750:350-754:354;750;350;valmis;https://tulokset.lintuatlas.fi/grid/750:350
750:351;Sodankylä;Sokka-Voutavaara;90;16;750:350-754:354;750;351;valmis;https://tulokset.lintuatlas.fi/grid/750:351
750:352;Sodankylä;Kipittivaara;90;16;750:350-754:354;750;352;kyllä;https://tulokset.lintuatlas.fi/grid/750:352
750:353;Savukoski;Syiliövaara;90;16;750:350-754:354;750;353;valmis;https://tulokset.lintuatlas.fi/grid/750:353
750:354;Savukoski;Vuonnelovaara;90;16;750:350-754:354;750;354;kyllä;https://tulokset.lintuatlas.fi/grid/750:354
751:350;Sodankylä;Loueaapa;90;16;750:350-754:354;751;350;valmis;https://tulokset.lintuatlas.fi/grid/751:350
751:351;Sodankylä;Voutavaara;90;16;750:350-754:354;751;351;kyllä;https://tulokset.lintuatlas.fi/grid/751:351
751:352;Sodankylä;Iso Angeevaara;90;16;750:350-754:354;751;352;valmis;https://tulokset.lintuatlas.fi/grid/751:352
751:353;Sodankylä;Pikku Angeevaara;90;16;750:350-754:354;751;353;valmis;https://tulokset.lintuatlas.fi/grid/751:353
751:354;Savukoski;Ettisselkä;90;16;750:350-754:354;751;354;kyllä;https://tulokset.lintuatlas.fi/grid/751:354
752:350;Sodankylä;Koitelainen;90;16;750:350-754:354;752;350;ei;https://tulokset.lintuatlas.fi/grid/752:350
752:351;Sodankylä;Viuvaloaapa;90;16;750:350-754:354;752;351;valmis;https://tulokset.lintuatlas.fi/grid/752:351
752:352;Sodankylä;Lätäkkövaara;90;16;750:350-754:354;752;352;valmis;https://tulokset.lintuatlas.fi/grid/752:352
752:353;Sodankylä;Lokka;90;16;750:350-754:354;752;353;valmis;https://tulokset.lintuatlas.fi/grid/752:353
752:354;Savukoski;Painopää;90;16;750:350-754:354;752;354;ei;https://tulokset.lintuatlas.fi/grid/752:354
753:350;Sodankylä;Ruosseljänaapa;90;16;750:350-754:354;753;350;kyllä;https://tulokset.lintuatlas.fi/grid/753:350
753:351;Sodankylä;Kannamanaapa;90;16;750:350-754:354;753;351;kyllä;https://tulokset.lintuatlas.fi/grid/753:351
753:352;Sodankylä;Riesto;72;16;750:350-754:354;753;352;ei;https://tulokset.lintuatlas.fi/grid/753:352
753:353;Sodankylä;Vuollosvaara;90;16;750:350-754:354;753;353;valmis;https://tulokset.lintuatlas.fi/grid/753:353
753:354;Sodankylä;Jänesvaara;90;16;750:350-754:354;753;354;valmis;https://tulokset.lintuatlas.fi/grid/753:354
754:350;Sodankylä;Riskaskama;90;16;750:350-754:354;754;350;ei;https://tulokset.lintuatlas.fi/grid/754:350
754:351;Sodankylä;Muteria;90;16;750:350-754:354;754;351;ei;https://tulokset.lintuatlas.fi/grid/754:351
754:352;Sodankylä;Simuna-aapa;72;16;750:350-754:354;754;352;ei;https://tulokset.lintuatlas.fi/grid/754:352
754:353;Sodankylä;Muotkarova;90;16;750:350-754:354;754;353;kyllä;https://tulokset.lintuatlas.fi/grid/754:353
754:354;Sodankylä;Vuoruaapa;90;16;750:350-754:354;754;354;kyllä;https://tulokset.lintuatlas.fi/grid/754:354
750:355;Savukoski;Vitsikkoselkä;90;17;750:355-754:359;750;355;valmis;https://tulokset.lintuatlas.fi/grid/750:355
750:356;Savukoski;Vaklivaara;90;17;750:355-754:359;750;356;valmis;https://tulokset.lintuatlas.fi/grid/750:356
750:357;Savukoski;Ruuvaoja;90;17;750:355-754:359;750;357;valmis;https://tulokset.lintuatlas.fi/grid/750:357
750:358;Savukoski;Kuusi-Nurusvaara;90;17;750:355-754:359;750;358;valmis;https://tulokset.lintuatlas.fi/grid/750:358
750:359;Savukoski;Ahmatunturi;90;17;750:355-754:359;750;359;ei;https://tulokset.lintuatlas.fi/grid/750:359
751:355;Savukoski;Kalkovaara;90;17;750:355-754:359;751;355;valmis;https://tulokset.lintuatlas.fi/grid/751:355
751:356;Savukoski;Konnottivaara;90;17;750:355-754:359;751;356;valmis;https://tulokset.lintuatlas.fi/grid/751:356
751:357;Savukoski;Lattuna;90;17;750:355-754:359;751;357;valmis;https://tulokset.lintuatlas.fi/grid/751:357
751:358;Savukoski;Sotatunturit;90;17;750:355-754:359;751;358;valmis;https://tulokset.lintuatlas.fi/grid/751:358
751:359;Savukoski;Saijanvaarat;90;17;750:355-754:359;751;359;valmis;https://tulokset.lintuatlas.fi/grid/751:359
752:355;Savukoski;Satkovaara;90;17;750:355-754:359;752;355;valmis;https://tulokset.lintuatlas.fi/grid/752:355
752:356;Savukoski;Kivihaaranpää;90;17;750:355-754:359;752;356;valmis;https://tulokset.lintuatlas.fi/grid/752:356
752:357;Savukoski;Niekka;90;17;750:355-754:359;752;357;valmis;https://tulokset.lintuatlas.fi/grid/752:357
752:358;Savukoski;Marjavaara;90;17;750:355-754:359;752;358;valmis;https://tulokset.lintuatlas.fi/grid/752:358
752:359;Savukoski;Tulppio;90;17;750:355-754:359;752;359;valmis;https://tulokset.lintuatlas.fi/grid/752:359
753:355;Savukoski;Kappervaarat;90;17;750:355-754:359;753;355;ei;https://tulokset.lintuatlas.fi/grid/753:355
753:356;Savukoski;Uittipiekantunturi;90;17;750:355-754:359;753;356;valmis;https://tulokset.lintuatlas.fi/grid/753:356
753:357;Savukoski;Uura-aapa;90;17;750:355-754:359;753;357;ei;https://tulokset.lintuatlas.fi/grid/753:357
753:358;Savukoski;Hangasaapa;90;17;750:355-754:359;753;358;valmis;https://tulokset.lintuatlas.fi/grid/753:358
753:359;Savukoski;Könkäänniemi;90;17;750:355-754:359;753;359;valmis;https://tulokset.lintuatlas.fi/grid/753:359
754:355;Savukoski;Mukkajoenrovat;90;17;750:355-754:359;754;355;ei;https://tulokset.lintuatlas.fi/grid/754:355
754:356;Savukoski;Suopattivaara;90;17;750:355-754:359;754;356;valmis;https://tulokset.lintuatlas.fi/grid/754:356
754:357;Savukoski;Ätimysvaara;90;17;750:355-754:359;754;357;ei;https://tulokset.lintuatlas.fi/grid/754:357
754:358;Savukoski;Naltiotunturi;90;17;750:355-754:359;754;358;valmis;https://tulokset.lintuatlas.fi/grid/754:358
754:359;Savukoski;Voittivaara;90;17;750:355-754:359;754;359;ei;https://tulokset.lintuatlas.fi/grid/754:359
750:360;Salla;Ikkervaara;90;18;750:360-754:364;750;360;kyllä;https://tulokset.lintuatlas.fi/grid/750:360
750:361;Salla;Tuntsa;90;18;750:360-754:364;750;361;kyllä;https://tulokset.lintuatlas.fi/grid/750:361
750:362;Salla;Iso-Rakitsainen;90;18;750:360-754:364;750;362;kyllä;https://tulokset.lintuatlas.fi/grid/750:362
751:360;Savukoski;Härkätunturi;90;18;750:360-754:364;751;360;valmis;https://tulokset.lintuatlas.fi/grid/751:360
751:361;Salla;Sauoiva;90;18;750:360-754:364;751;361;valmis;https://tulokset.lintuatlas.fi/grid/751:361
751:362;Salla;Puitsitunturi;72;18;750:360-754:364;751;362;kyllä;https://tulokset.lintuatlas.fi/grid/751:362
752:360;Savukoski;Ainijärvi;90;18;750:360-754:364;752;360;valmis;https://tulokset.lintuatlas.fi/grid/752:360
752:361;Savukoski;Nuorttitunturi;72;18;750:360-754:364;752;361;valmis;https://tulokset.lintuatlas.fi/grid/752:361
753:360;Savukoski;Rouvoiva;90;18;750:360-754:364;753;360;ei;https://tulokset.lintuatlas.fi/grid/753:360
753:361;Savukoski;Rouvoivan itäpuoli;72;18;750:360-754:364;753;361;ei;https://tulokset.lintuatlas.fi/grid/753:361
754:360;Savukoski;Rannisvaara;72;18;750:360-754:364;754;360;valmis;https://tulokset.lintuatlas.fi/grid/754:360
755:334;Muonio;Noidanpalo;72;19;755:330-759:334;755;334;kyllä;https://tulokset.lintuatlas.fi/grid/755:334
756:333;Enontekiö;Kelosuvanto;72;19;755:330-759:334;756;333;ei;https://tulokset.lintuatlas.fi/grid/756:333
756:334;Muonio;Kätkäsuvanto;72;19;755:330-759:334;756;334;valmis;https://tulokset.lintuatlas.fi/grid/756:334
757:333;Enontekiö;Pingisniva;72;19;755:330-759:334;757;333;kyllä;https://tulokset.lintuatlas.fi/grid/757:333
757:334;Enontekiö;Äijäjoki;90;19;755:330-759:334;757;334;kyllä;https://tulokset.lintuatlas.fi/grid/757:334
758:333;Enontekiö;Palojoensuu;72;19;755:330-759:334;758;333;valmis;https://tulokset.lintuatlas.fi/grid/758:333
758:334;Enontekiö;Sotkajärvi;90;19;755:330-759:334;758;334;valmis;https://tulokset.lintuatlas.fi/grid/758:334
759:331;Enontekiö;Tolppaniva;72;19;755:330-759:334;759;331;ei;https://tulokset.lintuatlas.fi/grid/759:331
759:332;Enontekiö;Kuttanen;72;19;755:330-759:334;759;332;valmis;https://tulokset.lintuatlas.fi/grid/759:332
759:333;Enontekiö;Nunasvaara;90;19;755:330-759:334;759;333;kyllä;https://tulokset.lintuatlas.fi/grid/759:333
759:334;Enontekiö;Suonttajärvi;90;19;755:330-759:334;759;334;kyllä;https://tulokset.lintuatlas.fi/grid/759:334
755:335;Muonio;Yli-Muonio;90;20;755:335-759:339;755;335;valmis;https://tulokset.lintuatlas.fi/grid/755:335
755:336;Muonio;Lipimä;90;20;755:335-759:339;755;336;kyllä;https://tulokset.lintuatlas.fi/grid/755:336
755:337;Muonio;Taivaskero;90;20;755:335-759:339;755;337;valmis;https://tulokset.lintuatlas.fi/grid/755:337
755:338;Kittilä;Pallasjärvi;90;20;755:335-759:339;755;338;valmis;https://tulokset.lintuatlas.fi/grid/755:338
755:339;Kittilä;Kurkkiovaara;90;20;755:335-759:339;755;339;kyllä;https://tulokset.lintuatlas.fi/grid/755:339
756:335;Muonio;Miasvaara;90;20;755:335-759:339;756;335;ei;https://tulokset.lintuatlas.fi/grid/756:335
756:336;Muonio;Keräs-Sieppi;90;20;755:335-759:339;756;336;kyllä;https://tulokset.lintuatlas.fi/grid/756:336
756:337;Enontekiö;Vuontiskero;90;20;755:335-759:339;756;337;valmis;https://tulokset.lintuatlas.fi/grid/756:337
756:338;Kittilä;Raattama;90;20;755:335-759:339;756;338;valmis;https://tulokset.lintuatlas.fi/grid/756:338
756:339;Kittilä;Vitsaselkä;90;20;755:335-759:339;756;339;ei;https://tulokset.lintuatlas.fi/grid/756:339
757:335;Enontekiö;Vuosukkaselkä;90;20;755:335-759:339;757;335;ei;https://tulokset.lintuatlas.fi/grid/757:335
757:336;Enontekiö;Outtakka;90;20;755:335-759:339;757;336;ei;https://tulokset.lintuatlas.fi/grid/757:336
757:337;Enontekiö;Suastunturi;90;20;755:335-759:339;757;337;valmis;https://tulokset.lintuatlas.fi/grid/757:337
757:338;Enontekiö;Ketojärvi;90;20;755:335-759:339;757;338;kyllä;https://tulokset.lintuatlas.fi/grid/757:338
757:339;Kittilä;Kuopsuvuoma;90;20;755:335-759:339;757;339;ei;https://tulokset.lintuatlas.fi/grid/757:339
758:335;Enontekiö;Muotkajärvi;90;20;755:335-759:339;758;335;kyllä;https://tulokset.lintuatlas.fi/grid/758:335
758:336;Enontekiö;Pyhäkero;90;20;755:335-759:339;758;336;kyllä;https://tulokset.lintuatlas.fi/grid/758:336
758:337;Enontekiö;Ketomella;90;20;755:335-759:339;758;337;kyllä;https://tulokset.lintuatlas.fi/grid/758:337
758:338;Enontekiö;Tuulivuoma;90;20;755:335-759:339;758;338;valmis;https://tulokset.lintuatlas.fi/grid/758:338
758:339;Enontekiö;Nunisvaara;90;20;755:335-759:339;758;339;ei;https://tulokset.lintuatlas.fi/grid/758:339
759:335;Enontekiö;Muurusjärvi;90;20;755:335-759:339;759;335;valmis;https://tulokset.lintuatlas.fi/grid/759:335
759:336;Enontekiö;Hetta;90;20;755:335-759:339;759;336;valmis;https://tulokset.lintuatlas.fi/grid/759:336
759:337;Enontekiö;Vuontisjoki;90;20;755:335-759:339;759;337;valmis;https://tulokset.lintuatlas.fi/grid/759:337
759:338;Enontekiö;Peltovuoma;90;20;755:335-759:339;759;338;valmis;https://tulokset.lintuatlas.fi/grid/759:338
759:339;Enontekiö;Nunnanen;90;20;755:335-759:339;759;339;valmis;https://tulokset.lintuatlas.fi/grid/759:339
755:340;Kittilä;Lompolo;90;21;755:340-759:344;755;340;valmis;https://tulokset.lintuatlas.fi/grid/755:340
755:341;Kittilä;Kortevuoma;90;21;755:340-759:344;755;341;valmis;https://tulokset.lintuatlas.fi/grid/755:341
755:342;Kittilä;Suaskogelonvuoma;90;21;755:340-759:344;755;342;valmis;https://tulokset.lintuatlas.fi/grid/755:342
755:343;Kittilä;Outa-Perttunen;90;21;755:340-759:344;755;343;valmis;https://tulokset.lintuatlas.fi/grid/755:343
755:344;Kittilä;Pailakainen;90;21;755:340-759:344;755;344;valmis;https://tulokset.lintuatlas.fi/grid/755:344
756:340;Kittilä;Sahmistonvuoma;90;21;755:340-759:344;756;340;valmis;https://tulokset.lintuatlas.fi/grid/756:340
756:341;Kittilä;Siukatanvuoma;90;21;755:340-759:344;756;341;valmis;https://tulokset.lintuatlas.fi/grid/756:341
756:342;Kittilä;Silasjärvi;90;21;755:340-759:344;756;342;kyllä;https://tulokset.lintuatlas.fi/grid/756:342
756:343;Kittilä;Piernakanselkä;90;21;755:340-759:344;756;343;valmis;https://tulokset.lintuatlas.fi/grid/756:343
756:344;Kittilä;Pokka;90;21;755:340-759:344;756;344;valmis;https://tulokset.lintuatlas.fi/grid/756:344
757:340;Kittilä;Puljutunturi;90;21;755:340-759:344;757;340;valmis;https://tulokset.lintuatlas.fi/grid/757:340
757:341;Kittilä;Almunavuoma;90;21;755:340-759:344;757;341;valmis;https://tulokset.lintuatlas.fi/grid/757:341
757:342;Kittilä;Karuvaara;90;21;755:340-759:344;757;342;ei;https://tulokset.lintuatlas.fi/grid/757:342
757:343;Kittilä;Ahkiovaara;90;21;755:340-759:344;757;343;kyllä;https://tulokset.lintuatlas.fi/grid/757:343
757:344;Kittilä;Uurrekarkia;90;21;755:340-759:344;757;344;valmis;https://tulokset.lintuatlas.fi/grid/757:344
758:340;Kittilä;Narkivaara;90;21;755:340-759:344;758;340;valmis;https://tulokset.lintuatlas.fi/grid/758:340
758:341;Kittilä;Nikulitsinrova;90;21;755:340-759:344;758;341;ei;https://tulokset.lintuatlas.fi/grid/758:341
758:342;Kittilä;Kätkätunturi;90;21;755:340-759:344;758;342;ei;https://tulokset.lintuatlas.fi/grid/758:342
758:343;Kittilä;Lisma;90;21;755:340-759:344;758;343;kyllä;https://tulokset.lintuatlas.fi/grid/758:343
758:344;Inari;Heikinaapa;90;21;755:340-759:344;758;344;kyllä;https://tulokset.lintuatlas.fi/grid/758:344
759:340;Enontekiö;Rupivaara;90;21;755:340-759:344;759;340;valmis;https://tulokset.lintuatlas.fi/grid/759:340
759:341;Kittilä;Korsatunturi;90;21;755:340-759:344;759;341;ei;https://tulokset.lintuatlas.fi/grid/759:341
759:342;Inari;Joikkavaarat;90;21;755:340-759:344;759;342;ei;https://tulokset.lintuatlas.fi/grid/759:342
759:343;Inari;Annaperttusjänkkä;90;21;755:340-759:344;759;343;ei;https://tulokset.lintuatlas.fi/grid/759:343
759:344;Inari;Nirroselkä;90;21;755:340-759:344;759;344;kyllä;https://tulokset.lintuatlas.fi/grid/759:344
755:345;Sodankylä;Mujuripounuaapa;90;22;755:345-759:349;755;345;ei;https://tulokset.lintuatlas.fi/grid/755:345
755:346;Sodankylä;Kuontalonpalo;90;22;755:345-759:349;755;346;kyllä;https://tulokset.lintuatlas.fi/grid/755:346
755:347;Sodankylä;Kaadinvaara;90;22;755:345-759:349;755;347;kyllä;https://tulokset.lintuatlas.fi/grid/755:347
